record_id,n_windows_leads,svm_acceptance_rate,mlp_acceptance_rate,mean_p_accept_svm,mean_p_accept_mlp
100,360,0.9944444444444445,0.9972222222222222,0.9210719648888431,0.9643540969948249
101,360,0.975,0.7111111111111111,0.8266405216593714,0.6761458746840372
102,360,1.0,1.0,0.8151820082420246,0.803929302520791
103,360,0.85,0.8583333333333333,0.8005256367995688,0.8283540587712263
104,360,0.8305555555555556,0.8388888888888889,0.6590522813039787,0.7617753306093739
105,360,0.6416666666666667,0.7027777777777777,0.5761824100103415,0.63479671089288
106,360,0.8444444444444444,0.875,0.6828878779045789,0.7780350166805923
107,360,0.9,0.65,0.6812839264561668,0.5655030053234182
108,360,0.5805555555555556,0.5833333333333334,0.46854061797808816,0.5411845749714627
109,360,0.9916666666666667,0.9888888888888889,0.8641056090468158,0.9011494425414854
111,360,0.9138888888888889,0.8888888888888888,0.7045193076360073,0.773987836926218
112,360,0.9527777777777777,0.9472222222222222,0.8174976992881312,0.8453712302627617
113,360,0.7027777777777777,0.7194444444444444,0.5588869871809403,0.6502050501871213
114,360,0.7472222222222222,0.7638888888888888,0.6548213746013024,0.726890712730535
115,360,0.8055555555555556,0.8527777777777777,0.7304749106010848,0.799724272940534
116,360,0.9416666666666667,0.8972222222222223,0.799684594919702,0.8240028578381845
117,360,0.7,0.9027777777777778,0.508352485738781,0.6804118305659136
118,360,0.9805555555555555,0.9694444444444444,0.8468153598576951,0.8530113186758772
119,360,0.9805555555555555,0.975,0.7841929275692312,0.8731292458975307
121,360,0.7888888888888889,0.8222222222222222,0.6156360913054447,0.7087327841675698
122,360,0.7888888888888889,0.7638888888888888,0.677617514943882,0.6894349756125093
123,360,0.9916666666666667,0.9944444444444445,0.9003894104750223,0.9844511645826952
124,360,0.8472222222222222,0.8416666666666667,0.6828201076050395,0.7683859139028267
200,360,0.8944444444444445,0.825,0.7226867600995767,0.7383824860540656
201,360,0.9777777777777777,0.975,0.8431864476249261,0.8778522208634425
202,360,0.9722222222222222,0.9833333333333333,0.8372383530742098,0.8789794981864323
203,360,0.825,0.8222222222222222,0.6592158934743519,0.7372549860686132
205,360,0.9444444444444444,0.8916666666666667,0.8239477001403201,0.8140109383584254
207,360,0.44166666666666665,0.6527777777777778,0.3617949638683575,0.5359967640985596
208,360,0.8916666666666667,0.9,0.6905424517389662,0.7813350849218419
209,360,0.8416666666666667,0.7666666666666667,0.7097790878894024,0.6939770211743818
210,360,0.9388888888888889,0.9472222222222222,0.8175866630947317,0.8647285493381748
212,360,0.925,0.9,0.7815180921814701,0.8081858496642662
213,360,1.0,1.0,0.8696007956997639,0.9024152830420455
214,360,0.8777777777777778,0.7666666666666667,0.700783564040916,0.6778851854759481
215,360,0.875,0.925,0.7866800228344294,0.8204477237105205
217,360,0.49444444444444446,0.39166666666666666,0.40587224601968036,0.34437347581905037
219,360,0.7388888888888889,0.6777777777777778,0.6120212858733115,0.6368918242632146
220,360,0.9972222222222222,1.0,0.9474936283793329,0.9585420608078989
221,360,1.0,0.9972222222222222,0.8069883680870925,0.9113063320023899
222,360,0.7194444444444444,0.9083333333333333,0.6618364819269229,0.8147102290052837
223,360,0.9388888888888889,0.925,0.8100066640769833,0.8451255650528359
228,360,0.8638888888888889,0.9333333333333333,0.7412772340645946,0.8637323753313798
230,360,0.9916666666666667,0.9361111111111111,0.8304360435010157,0.8339166139249014
231,360,0.9583333333333334,0.9722222222222222,0.8013104343363426,0.9013866400372323
232,360,0.9527777777777777,0.9472222222222222,0.8181650488662481,0.862814059724733
233,360,0.9972222222222222,0.9888888888888889,0.88768660671416,0.8848802985672983
234,360,0.9666666666666667,0.9694444444444444,0.8878730177899281,0.893220042319675
