model,n_train_leads,n_val_leads,n_test_leads,C,gamma,threshold,test_Ac,test_Se,test_Sp,test_AUC,test_tn,test_fp,test_fn,test_tp
singlelead_weak_svm,12996,2784,2772,25.0,0.03125,0.3845,0.9015151515151515,0.9310344827586207,0.8717391304347826,0.9323197776111943,1203,177,96,1296
singlelead_weak_lm_mlp_J5,12996,2784,2772,,,0.442,0.9036796536796536,0.9561781609195402,0.8507246376811595,0.9402225970348158,1174,206,61,1331
