Model,paper_Ac_test_balanced_SetB,run_Ac_test,delta_Ac_test,paper_Se_test_balanced_SetB,run_Se_test,paper_Sp_test_balanced_SetB,run_Sp_test
MLP,0.959,0.9177489177489178,-0.041251082251082205,0.96,0.9310344827586208,0.958,0.9043478260869564
SVM,0.953,0.9393939393939394,-0.01360606060606051,0.961,0.9655172413793104,0.944,0.9130434782608696
