SQI,paper_Ac_test,run_Ac_test,delta_Ac_test,paper_Se_test,run_Se_test,delta_Se_test,paper_Sp_test,run_Sp_test,delta_Sp_test,paper_rank,run_rank
bSQI,0.909,0.8744588744588745,-0.03454112554112554,0.91,0.9741379310344828,0.06413793103448273,0.908,0.7739130434782608,-0.1340869565217392,3,4
iSQI,0.805,0.8095238095238095,0.0045238095238094855,0.742,0.7155172413793104,-0.026482758620689606,0.868,0.9043478260869564,0.036347826086956414,5,5
kSQI,0.925,0.9134199134199136,-0.011580086580086468,0.905,0.9827586206896552,0.07775862068965522,0.945,0.8434782608695652,-0.10152173913043472,2,1
sSQI,0.906,0.8961038961038961,-0.009896103896103958,0.905,0.913793103448276,0.008793103448275996,0.907,0.8782608695652174,-0.0287391304347826,4,2
pSQI,0.723,0.658008658008658,-0.06499134199134193,0.463,0.9741379310344828,0.5111379310344828,0.983,0.3391304347826087,-0.6438695652173914,7,6
fSQI,0.73,0.5800865800865801,-0.1499134199134199,0.967,1.0,0.03300000000000003,0.493,0.1565217391304348,-0.3364782608695652,6,7
basSQI,0.933,0.8831168831168831,-0.049883116883116974,0.943,0.8706896551724138,-0.07231034482758614,0.923,0.8956521739130435,-0.027347826086956517,1,3
