model,sample_group,n,group_recall_metric,group_recall,acceptance_rate,rejection_rate,threshold,score_mean,score_median,pairwise_model_auc,source,label_acceptable,score_q10,score_q90
MLP selected-five,original acceptable,116,acceptable_recall,0.9310344827586208,0.9310344827586208,0.0689655172413793,0.6295000000000001,0.9351818896214774,0.9999208779866208,,outputs/sqi_supplemental/existing_seed0/model_diagnostics/stratified_score_summary.csv,1,0.9044479275397724,0.9999961517529848
MLP selected-five,original unacceptable,33,poor_recall,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6295000000000001,0.3300010652709453,0.0001244987252256,,outputs/sqi_supplemental/existing_seed0/model_diagnostics/stratified_score_summary.csv,0,1.6974338694710933e-05,0.999375661562758
MLP selected-five,synthetic em,41,poor_recall,1.0,0.0,1.0,0.6295000000000001,0.0088369226351722,0.0002161527757929,,outputs/sqi_supplemental/existing_seed0/model_diagnostics/stratified_score_summary.csv,0,1.1587185788961715e-06,0.0056349983394483
MLP selected-five,synthetic ma,41,poor_recall,1.0,0.0,1.0,0.6295000000000001,0.0001850462073004,4.343813781268776e-06,,outputs/sqi_supplemental/existing_seed0/model_diagnostics/stratified_score_summary.csv,0,4.780507221447445e-08,0.0003537254215143
SVM selected-five,original acceptable,116,acceptable_recall,0.9655172413793104,0.9655172413793104,0.0344827586206896,0.5215,0.9042580532511226,0.9616482272058532,,outputs/sqi_supplemental/existing_seed0/model_diagnostics/stratified_score_summary.csv,1,0.7163230205020793,0.9928966969659324
SVM selected-five,original unacceptable,33,poor_recall,0.696969696969697,0.303030303030303,0.696969696969697,0.5215,0.3327596171265455,0.099560859993731,,outputs/sqi_supplemental/existing_seed0/model_diagnostics/stratified_score_summary.csv,0,0.0117401924019704,0.9464181731004746
SVM selected-five,synthetic em,41,poor_recall,1.0,0.0,1.0,0.5215,0.0552276969551174,0.0388965312203056,,outputs/sqi_supplemental/existing_seed0/model_diagnostics/stratified_score_summary.csv,0,0.0099545606985097,0.1101411669091297
SVM selected-five,synthetic ma,41,poor_recall,1.0,0.0,1.0,0.5215,0.0163474327664305,0.0072792670397127,,outputs/sqi_supplemental/existing_seed0/model_diagnostics/stratified_score_summary.csv,0,0.0030568660681837,0.0434338789161207
