scope,but_n,synthetic_n,rbf_mmd,sliced_wasserstein,quantile_loss,global_domain_auc_not_dual,pca_density_overlap
all_labels,18635,31590,0.0595920087427521,0.3468131750386242,0.3354626908504762,0.7045719954648526,0.7756978188216064
class_good,10530,10530,0.0013765146043499,0.0556126941165541,0.0,0.5099603174603174,1.0
class_medium,6449,10530,0.0086910495924493,0.1174588532185978,0.0360221616727535,0.6491383219954648,0.924498536352871
class_bad,1656,10530,0.0458983115608599,0.2294346782504467,0.1998329806797257,0.933622448979592,0.7987525845125159
