model,protocol,input,threshold,source,Ac,Ac_ci_low,Ac_ci_high,Se,Se_ci_low,Se_ci_high,Sp,Sp_ci_low,Sp_ci_high,acceptable_positive_model_auc,acceptable_positive_model_auc_ci_low,acceptable_positive_model_auc_ci_high
MLP selected-five,SQI supplemental paper-balanced test,selected-five 12-lead SQI,0.6295000000000001,outputs/sqi_supplemental/existing_seed0/model_diagnostics/selected5_source_bootstrap_metrics.csv,0.9177489177489178,0.8790661174262175,0.9527896995708156,0.9310344827586208,0.8828828828828829,0.9747951680672268,0.9043478260869564,0.8421052631578947,0.9532710280373832,0.955247376311844,0.9186005442147498,0.9846190130624092
SVM selected-five,SQI supplemental paper-balanced test,selected-five 12-lead SQI,0.5215,outputs/sqi_supplemental/existing_seed0/model_diagnostics/selected5_source_bootstrap_metrics.csv,0.9393939393939394,0.9041051025901776,0.9670781893004116,0.9655172413793104,0.927261640798226,0.991668388429752,0.9130434782608696,0.8529334365325077,0.9609375,0.961544227886057,0.9305604353971866,0.9851019928334236
