run_id,construction,model,input,parameter_source,threshold_source,threshold,acc,auc,balanced_acc,acceptable_recall,original_unacceptable_recall,confusion,val_threshold_acc,val_threshold_macro_f1,val_threshold_acceptable_recall,val_threshold_unacceptable_recall,train_original_bad_recall_fixed05,val_bad_recall_fixed05,test_original_bad_recall_fixed05
seta_smc_gapfill_sqi_svmrbf_selected5,smc_gapfill,SQI SVM-RBF selected5,"bSQI,basSQI,kSQI,sSQI,fSQI",paper_table6_fixed_C1_gamma0.14,validation_max_accuracy,0.2045,0.8791946308724832,0.8814002089864159,0.7814785788923719,0.9568965517241379,0.6060606060606061,"{""tn"": 20, ""fp"": 13, ""fn"": 5, ""tp"": 111}",,,,,,,
seta_smc_gapfill_sqi_svmrbf_all84,smc_gapfill,SQI SVM-RBF all84,all84,paper_table6_fixed_C1_gamma0.14,validation_max_accuracy,0.182,0.8657718120805369,0.9310344827586208,0.7728578892371996,0.9396551724137931,0.6060606060606061,"{""tn"": 20, ""fp"": 13, ""fn"": 7, ""tp"": 109}",,,,,,,
seta_smc_gapfill_lm_mlp_84,smc_gapfill,SQI LM-MLP 84-4-1,all84,,validation_max_accuracy,0.7235,0.8993288590604027,0.8978578892371997,0.7944096133751306,0.9827586206896551,0.6060606060606061,"{""tn"": 20, ""fp"": 13, ""fn"": 2, ""tp"": 114}",,,,,,,
seta_smc_gapfill_e31style_waveform,smc_gapfill,12-lead E31-style waveform comparator,12-lead waveform-derived channels,,validation_recall_balanced,0.5905,0.9194630872483222,0.8879310344827586,0.8832288401253918,0.9482758620689655,0.8181818181818182,"{""tn"": 27, ""fp"": 6, ""fn"": 6, ""tp"": 110}",0.9,0.8616151054800418,0.9224137931034483,0.8235294117647058,0.810126582278481,0.8235294117647058,0.7878787878787878
