comparison,within_original_mmd_median,within_original_mmd_p05,within_original_mmd_p95,cross_mmd_median,cross_mmd_p05,cross_mmd_p95,delta_gt_0_fraction
within_original_resample,0.006229498375277753,0.0031030432138760776,0.01789900817792882,0.006432329150359073,0.0033532522119967155,0.01954734588767021,0.55
fixed_synthetic,0.006101642338986801,0.0029562494734013288,0.0180437060767415,0.4488774559843474,0.38338573913547064,0.5088408597849388,1.0
quota_draw,0.006101642338986801,0.0029562494734013288,0.0180437060767415,0.00995927199829627,0.006506577443666561,0.023181998714388717,0.77
smc_gapfill,0.006101642338986801,0.0029562494734013288,0.0180437060767415,0.008831744932565888,0.005040920962793394,0.023689439679291192,0.72
