record_id,perturbation,severity,window_start_s,window_stop_s,accepted,sqi_distance,delta_iSQI,delta_bSQI,delta_pSQI,delta_basSQI,qrs_same,delta_conformer_medium_logit,delta_conformer_bad_logit,delta_mlp_gm_margin,clean_conformer_pred,cand_conformer_pred
butv116_00007,hf_burst,0.2,1.2,1.696,1,0.005726497779431118,0.0,0.0,0.00016446172371531453,1.5885115185465537e-06,1,0.0002353191375732422,0.00086212158203125,0.11852459714343855,good,good
butv116_00007,hf_burst,0.4,1.2,1.696,1,0.006356643557011838,0.0,0.0,0.0003225309747780791,3.0950959979403336e-06,1,0.01091456413269043,0.009011268615722656,0.11733834989352765,good,good
butv116_00007,hf_burst,0.6,1.2,1.696,1,0.00750378866334266,0.0,0.0,0.0004741797316836216,4.520870546587119e-06,1,0.03566575050354004,0.027823448181152344,0.11649463403295734,good,good
butv116_00007,hf_burst,0.8,1.2,1.696,1,0.007785692767414453,0.0,0.0,0.0006194183940753106,5.864063986615875e-06,1,0.08315706253051758,0.06373214721679688,0.055865157682375655,good,good
butv116_00007,hf_burst,1.0,1.2,1.696,1,0.011237087680993766,0.0,0.0,0.0007582206549191506,7.126511012867098e-06,1,0.17813730239868164,0.12341785430908203,0.11583477240843187,good,good
butv116_00007,hf_burst,1.2,1.2,1.696,1,0.013720370450691721,0.0,0.0,0.0008905993431248538,8.307375241933812e-06,1,0.3126099109649658,0.19593429565429688,0.11601893953529485,good,good
butv116_00007,hf_burst,1.4,1.2,1.696,1,0.016562754364533593,0.0,0.0,0.0010165367291962157,9.406355362950869e-06,1,0.45455336570739746,0.2630033493041992,0.11654618213766521,good,good
butv116_00007,hf_burst,1.6,1.2,1.696,1,0.01974069138966944,0.0,0.0,0.0011360203908916677,1.042329621558924e-05,1,0.5571701526641846,0.3073921203613281,0.11741686861129996,good,good
butv116_00007,hf_burst,1.8,1.2,1.696,1,0.0232387492525037,0.0,0.0,0.0012490395903237417,1.1358601748390207e-05,1,0.6336297988891602,0.33174610137939453,0.11863135078383968,good,good
butv116_00007,hf_burst,2.0,1.2,1.696,1,0.027046592908784237,0.0,0.0,0.001355594206543631,1.2212294015157e-05,1,0.6923809051513672,0.3417978286743164,0.12018986807224996,good,good
butv116_00007,emg_noise_floor,0.2,6.872,7.816,1,0.0028938638951781655,0.0,0.0,0.00014695439612077976,4.675050554681093e-06,1,-0.0173795223236084,0.00112152099609375,-0.05783656341504817,good,good
butv116_00007,emg_noise_floor,0.4,6.872,7.816,1,0.0014892977121249665,0.0,0.0,0.0002983670048258835,9.473476715760043e-06,1,-0.019212722778320312,0.0040683746337890625,0.0038925094629236323,good,good
butv116_00007,emg_noise_floor,0.6,6.872,7.816,1,0.0020199620461249387,0.0,0.0,0.0004542130279053813,1.4393601478035478e-05,1,-0.005624055862426758,0.008749008178710938,0.006233042521211596,good,good
butv116_00007,emg_noise_floor,0.8,6.872,7.816,1,0.002461570947509826,0.0,0.0,0.0006144885534138389,1.943464693554553e-05,1,0.012639522552490234,0.013673782348632812,0.008836470973211386,good,good
butv116_00007,emg_noise_floor,1.0,6.872,7.816,1,0.0028746167396494055,0.0,0.0,0.0007791748743073423,2.4599012518611296e-05,1,0.04002737998962402,0.02008342742919922,0.011702669529173315,good,good
butv116_00007,emg_noise_floor,1.2,6.872,7.816,1,0.0033341856354325867,0.0,0.0,0.0009482478505592473,2.9884528038648384e-05,1,0.07952046394348145,0.028167724609375,0.014831468319510765,good,good
butv116_00007,emg_noise_floor,1.4,6.872,7.816,1,0.00391916555780329,0.0,0.0,0.001121695069136952,3.5291213659971454e-05,1,0.11840081214904785,0.036210060119628906,0.018222898666934384,good,good
butv116_00007,emg_noise_floor,1.6,6.872,7.816,1,0.004695464384503193,0.0,0.0,0.0012995047226324052,4.081776777509205e-05,1,0.16039776802062988,0.04518699645996094,0.02187694225941028,good,good
butv116_00007,emg_noise_floor,1.8,6.872,7.816,1,0.005704994472951151,0.0,0.0,0.001481659493135945,4.646407618846826e-05,1,0.20385217666625977,0.053277015686035156,0.02579359173375595,good,good
butv116_00007,emg_noise_floor,2.0,6.872,7.816,1,0.006966820059729873,0.0,0.0,0.0016681381835248477,5.223028433809507e-05,1,0.24025797843933105,0.05942821502685547,0.02997272774923765,good,good
butv116_00007,reset_spike,0.2,7.56,8.36,1,0.007746006326736304,0.0,0.0,0.0004317030123792698,0.00010179809914434568,1,0.020493030548095703,0.004202842712402344,0.0024194917827113915,good,good
butv116_00007,reset_spike,0.4,7.56,8.36,1,0.014039661985448548,0.0,0.0,0.0008511372289992103,0.00020802213156423388,1,0.04788017272949219,0.010165214538574219,0.005559314454535835,good,good
butv116_00007,reset_spike,0.6,7.56,8.36,1,0.018882222586255094,0.0,0.0,0.001258176155619406,0.00031863528921349804,1,0.07191824913024902,0.0161590576171875,0.009409932635668694,good,good
butv116_00007,reset_spike,0.8,7.56,8.36,1,0.022282569308417162,0.0,0.0,0.0016526910883986057,0.0004336021914390642,1,0.09860348701477051,0.022825241088867188,0.013962355954672656,good,good
butv116_00007,reset_spike,1.0,7.56,8.36,1,0.02426103489739543,0.0,0.0,0.0020345802513043187,0.0005528825322660413,1,0.12105345726013184,0.029214859008789062,0.01920865164742569,good,good
butv116_00007,reset_spike,1.2,7.56,8.36,1,0.024857008809455964,0.0,0.0,0.00240373046377218,0.0006764332500492909,1,0.15092253684997559,0.036640167236328125,0.025141353282166934,good,good
