candidate,model,n_seeds,acc_mean,acc_std,macro_f1_mean,macro_f1_std,good_recall_mean,good_recall_std,medium_recall_mean,medium_recall_std,bad_recall_mean,bad_recall_std,boundary_error_rate_mean,boundary_error_rate_std,delta_acc_vs_full,delta_macro_f1_vs_full,delta_good_recall_vs_full,delta_medium_recall_vs_full,delta_bad_recall_vs_full,delta_boundary_error_rate_vs_full
pooled_h_only,Pooled-H only,3,0.9275283937263387,0.0037858301784748755,0.9394255846014407,0.001744692397268814,0.9233934789490345,0.025381780671606347,0.9193037974683543,0.02964397784049876,0.9857723577235772,0.00931417824178017,0.07636003956478733,0.004493696020415647,-0.016585541734270626,-0.014237939756201246,-0.024691358024691468,-0.005274261603375741,-0.008130081300812941,0.017012858555885253
no_hires_cross_attention,No hi-res cross attention,3,0.9370831079862989,0.009527463682512257,0.9471938157103331,0.00653188268594886,0.9379550490661601,0.016181548488929526,0.9208860759493671,0.00725091090974023,0.9939024390243901,0.0060975609756097615,0.06627101879327399,0.011108126719182165,-0.007030827474310386,-0.006469708647308781,-0.010129787907565801,-0.003691983122362963,0.0,0.00692383778437191
mean_h_fusion,Mean-H fusion,3,0.9414097710474131,0.0016522717486770221,0.9500584635584279,0.0022823281793241516,0.9477682811016145,0.01774125516834702,0.9161392405063292,0.025903015100862212,0.9979674796747968,0.003520428470668453,0.061325420375865476,0.0009065431641851333,-0.0027041644131962084,-0.003605060799213966,-0.00031655587211143477,-0.008438818565400852,0.004065040650406693,0.001978239366963397
full_conformer,Full Conformer,3,0.9441139354606093,0.004725200080072548,0.9536635243576419,0.0028572730156593835,0.9480848369737259,0.015352143910075524,0.9245780590717301,0.011875875790292941,0.9939024390243901,1.3597399555105182e-16,0.05934718100890208,0.005723234872992856,0.0,0.0,0.0,0.0,0.0,0.0
