construction,train_poor_source_n,threshold_source,threshold,Se,Sp,AUC,test_original_poor_auc,original_poor_recall,acceptable_recall
native_imbalanced,158,validation_max_accuracy,0.8280493769080289,1.0,0.5454545454545454,0.9331243469174504,0.9331243469174504,0.5454545454545454,1.0
fixed_synthetic,383,validation_max_accuracy,0.6923106966331339,0.9655172413793104,0.3636363636363636,0.5135841170323929,0.5135841170323929,0.3636363636363636,0.9655172413793104
quota_draw,383,validation_max_accuracy,0.5946465277118189,0.9827586206896552,0.6060606060606061,0.913531870428422,0.913531870428422,0.6060606060606061,0.9827586206896552
smc_gapfill,383,validation_max_accuracy,0.5094677815188363,0.9741379310344828,0.7272727272727273,0.9140543364681296,0.9140543364681296,0.7272727272727273,0.9741379310344828
