direction,intervention,n,mean_delta_h_med,sem_delta_h_med,flip_rate,mean_delta_bad_logit
necessity,top-local,123,0.030257154286392335,0.020494386031340323,0.016260162601626018,0.0052044294713958494
necessity,random,123,0.027512113253275555,0.015130208841424492,0.0,0.010953496142131527
necessity,same-class,123,-0.024102383512791578,0.015117346255777792,0.0,-0.015215470538875921
necessity,donor global-mean,123,-0.02411087935532981,0.009246036245031154,0.008130081300813009,-0.048103212341060485
sufficiency,top-local,123,0.003400722170263771,0.01513051709885388,0.016260162601626018,-0.00858054509977015
sufficiency,random,123,0.01513948382400885,0.01133730591454028,0.024390243902439025,-0.0034586588541666665
sufficiency,same-class,123,-0.010312233513932886,0.023236160658168133,0.008130081300813009,-0.012968536314925528
sufficiency,donor global-mean,123,0.032103130487891714,0.010425086408665041,0.008130081300813009,0.024121051881371473
