phase,epoch,train_loss,train_loss_part_loss_cls,train_loss_part_loss_factor,train_loss_part_loss_local,train_loss_part_loss_artifact,train_loss_part_loss_subtype,train_loss_part_loss_pairrank,train_loss_part_loss_subtype_class_consistency,train_loss_part_loss_hard_gm,train_loss_part_loss_medium_bad_guard,train_loss_part_local_qrs,train_loss_part_local_artifact,train_loss_part_local_cont,train_loss_part_detector_agreement_batch,train_loss_part_artifact_bce,train_loss_part_artifact_severity_loss,train_loss_part_bad_specific_loss,train_loss_part_artifact_nonbad_bad_prob,train_acc,train_macro_f1,train_good_recall,train_medium_recall,train_bad_recall,train_good_to_medium,train_medium_to_good,train_bad_to_medium,train_bad_fpr_nonbad,train_macro_f1_sklearn,train_supported_labels,train_artifact_positive_nonbad_count,train_artifact_positive_nonbad_bad_fpr,train_factor_mae,train_quality_subtype_rows,train_quality_subtype_acc,train_quality_subtype_class_acc,train_boundary_four_rows,train_boundary_label_acc,train_boundary_family_acc,train_boundary_label_balanced_acc,train_record_macro_acc,train_record_macro_supported_f1,train_record_macro_full_f1,train_bad_record_count,train_bad_containing_record_bad_recall_mean,train_bad_containing_record_acc_mean,val_acc,val_macro_f1,val_good_recall,val_medium_recall,val_bad_recall,val_good_to_medium,val_medium_to_good,val_bad_to_medium,val_bad_fpr_nonbad,val_macro_f1_sklearn,val_supported_labels,val_artifact_positive_nonbad_count,val_artifact_positive_nonbad_bad_fpr,val_factor_mae,val_quality_subtype_rows,val_quality_subtype_acc,val_quality_subtype_class_acc,val_boundary_four_rows,val_boundary_label_acc,val_boundary_family_acc,val_boundary_label_balanced_acc,val_record_macro_acc,val_record_macro_supported_f1,val_record_macro_full_f1,val_bad_record_count,val_bad_containing_record_bad_recall_mean,val_bad_containing_record_acc_mean
finetune,1,0.5412663502188829,0.38623554339775673,0.32584061164122363,0.1599940224049183,0.24814538651934037,2.287839546111914,0.0,0.0,0.0,0.0,0.19514380681973237,0.17160392733147511,0.04881972077374275,0.43279345895235355,0.1631564743243731,0.0349669525363984,0.036036042524098706,0.0657694017335486,0.9034496590453269,0.9036418206330503,0.8667870036101083,0.866546329723225,0.9770156438026474,0.1328519855595668,0.1184115523465704,0.02214199759326113,0.007701564380264741,0.9036418206330503,"good,medium,bad",7034,0.011373329542223486,1.320669174194336,24930,0.47176093060569596,0.8987966305655837,3556,0.38695163104611924,0.7469066366704162,0.5535441254931499,0.9422033556281763,0.9430967045270706,0.38700252610402736,3210,0.9758290739850258,0.9592414126848806,0.8766901027582477,0.893662411841596,0.8651471984805318,0.872168284789644,0.9606741573033708,0.13485280151946819,0.11650485436893204,0.03932584269662921,0.004189108318372232,0.893662411841596,"good,medium,bad",728,0.006868131868131868,1.3448610305786133,1849,0.4975662520281233,0.8680367766360195,314,0.5286624203821656,0.7070063694267515,0.5568862275449101,0.8476997082747401,0.8253071426765664,0.5371671962032865,6,0.7777777777777777,0.8411670699509886
finetune,2,0.344275046311892,0.22822800390422343,0.2980390562460973,0.10717841610312462,0.16466579058995615,1.5151302906183095,0.0,0.0,0.0,0.0,0.13872976638376713,0.10816414734491935,0.019180031701062736,0.36798255649896766,0.1233845168294815,0.01808588712547834,0.020163974959205706,0.02912617314947196,0.9238668271159246,0.9240803304265737,0.897352587244284,0.8954271961492178,0.978820697954272,0.10264741275571601,0.09554753309265944,0.020938628158844765,0.004512635379061372,0.9240803304265737,"good,medium,bad",7034,0.005828831390389536,1.2987548112869263,24930,0.5215002005615724,0.9235058162855997,3556,0.5700224971878515,0.8152418447694039,0.6843591405114913,0.954468634210093,0.9558511143279524,0.39295340467582507,3210,0.9784372645101245,0.9668225463414196,0.9069767441860465,0.9165581736759701,0.9040835707502374,0.8964401294498382,0.9606741573033708,0.09591642924976258,0.09223300970873786,0.03932584269662921,0.004189108318372232,0.9165581736759701,"good,medium,bad",728,0.006868131868131868,1.2781034708023071,1849,0.5424553812871823,0.9010275824770146,314,0.6751592356687898,0.7738853503184714,0.6946107784431138,0.8913542668211522,0.871674591070989,0.5779087755660429,6,0.7777777777777777,0.9199987816935554
finetune,3,0.2954771738785964,0.18978533289180352,0.29291108101606367,0.08873680365773348,0.14329821564830267,1.317058378458023,0.0,0.0,0.0,0.0,0.11503196542079631,0.08895586012647702,0.016151282373959054,0.3323608778990232,0.11018900008728871,0.015676107563866445,0.017111227681529655,0.022000374644994734,0.9257521058965102,0.9260657433065419,0.9084235860409146,0.8962695547533093,0.9725631768953069,0.09157641395908545,0.09747292418772563,0.027316486161251503,0.003128760529482551,0.9260657433065419,"good,medium,bad",7034,0.003696332101222633,1.5010842084884644,24930,0.5687926193341356,0.9239069394304051,3556,0.780933633295838,0.8548931383577053,0.8353699939631252,0.9497242086864139,0.9512352680278312,0.3909464080137416,3210,0.9720838513713049,0.9618022488520126,0.9085992428339643,0.9167972044442633,0.9107312440645774,0.8948220064724919,0.9438202247191011,0.0892687559354226,0.0970873786407767,0.056179775280898875,0.002992220227408737,0.9167972044442633,"good,medium,bad",728,0.005494505494505495,1.517382264137268,1849,0.6143861546782045,0.9123850730124392,314,0.8726114649681529,0.8121019108280255,0.8802395209580838,0.894013769368641,0.8696675022528525,0.5799140324269189,6,0.7444444444444445,0.9407978021565345
finetune,4,0.2808196438619724,0.1797126666857646,0.29055215934148204,0.07921950931732472,0.13385818835634453,1.239387741455665,0.0,0.0,0.0,0.0,0.10212793820179426,0.08065267127866928,0.014429870838872516,0.3145213135159933,0.10511451397950833,0.014451913483655796,0.01499362025216267,0.01858620201730026,0.9142799839550743,0.9137002895282675,0.9700361010830325,0.7949458483754512,0.9778580024067389,0.029963898916967508,0.19987966305655835,0.021660649819494584,0.0025872442839951866,0.9137002895282675,"good,medium,bad",7034,0.002985499004833665,1.5274087190628052,24930,0.5569193742478941,0.9090653830726033,3556,0.6439820022497188,0.8509561304836896,0.738010711298925,0.9232641647219012,0.9256234735460024,0.3791688029475182,3210,0.976329702114373,0.9507373111398415,0.9129259058950784,0.9165687826836164,0.9677113010446344,0.8090614886731392,0.949438202247191,0.032288698955365625,0.1796116504854369,0.05056179775280899,0.004189108318372232,0.9165687826836164,"good,medium,bad",728,0.008241758241758242,1.5206412076950073,1849,0.6111411573823688,0.9156300703082747,314,0.7770700636942676,0.802547770700637,0.7904191616766467,0.9474958707115534,0.896491378995073,0.583890267325334,6,0.7555555555555555,0.9479216660981259
finetune,5,0.2698969346972612,0.17149843100744944,0.28931165578273627,0.07261471158036818,0.12983075205523234,1.1883137391163752,0.0,0.0,0.0,0.0,0.09310959961551886,0.07532950646888752,0.012860272068960163,0.3039090908490695,0.10160289752082183,0.01378707136027515,0.015461638815704996,0.017803086895638934,0.9444444444444444,0.9444443117882839,0.9216606498194946,0.9226233453670277,0.9890493381468111,0.07833935018050542,0.06425992779783393,0.010830324909747292,0.006558363417569194,0.9444443117882839,"good,medium,bad",7034,0.009667330110889964,1.6008795499801636,24930,0.5902527075812274,0.9398315282791817,3556,0.687570303712036,0.875421822272216,0.7683880067420998,0.9678350428974207,0.9682022226673365,0.39852083632427465,3210,0.9871953793322149,0.976947740095542,0.9323958896700919,0.9356193380615029,0.9287749287749287,0.9271844660194175,0.9719101123595506,0.07122507122507123,0.05663430420711974,0.028089887640449437,0.005984440454817474,0.9356193380615029,"good,medium,bad",728,0.01098901098901099,1.6084043979644775,1849,0.6408869659275284,0.9286100594916171,314,0.7993630573248408,0.8343949044585988,0.811377245508982,0.9412277325522296,0.9126164545658422,0.5945749670678331,6,0.7999999999999999,0.9316101291130319
finetune,6,0.25385238754634676,0.15833193310894644,0.28767391649576335,0.06773285448837739,0.12325139544331111,1.1377417195301789,0.0,0.0,0.0,0.0,0.08674567631230905,0.07094082487030672,0.011437626763318593,0.30139607466184176,0.09819441764400555,0.013020285186715996,0.013510642533046499,0.015623948051898668,0.9347372643401525,0.934700799003616,0.851985559566787,0.9622141997593261,0.9900120336943442,0.148014440433213,0.02503008423586041,0.009867629362214199,0.006377858002406739,0.934700799003616,"good,medium,bad",7034,0.009809496730167757,1.5486701726913452,24930,0.5862815884476534,0.935218612113919,3556,0.7272215973003374,0.8841394825646794,0.7974002669517105,0.9825963647181937,0.9821184249255902,0.40480831869201517,3210,0.9880083766809141,0.9841988606980326,0.8967009194159005,0.9076781318819744,0.8499525166191833,0.9563106796116505,0.9662921348314607,0.15004748338081672,0.024271844660194174,0.033707865168539325,0.00718132854578097,0.9076781318819744,"good,medium,bad",728,0.013736263736263736,1.5277321338653564,1849,0.6203353163872364,0.903731746890211,314,0.8312101910828026,0.8471337579617835,0.8413173652694611,0.8890343383714772,0.8730385148271914,0.5714759313201636,6,0.7888888888888889,0.8775940491348773
finetune,7,0.24388028652622148,0.14997622542656386,0.28695336053004633,0.06358929449835649,0.12164155594431438,1.1029602140188217,0.0,0.0,0.0,0.0,0.08124706997321202,0.06740045345459993,0.010266458486708312,0.29952546105935024,0.09683201828828225,0.012761164571230228,0.013348403915987845,0.015555556988692843,0.9429201764941837,0.9427653655292446,0.9623345367027677,0.8791817087845969,0.9872442839951865,0.03766546329723225,0.11191335740072202,0.01263537906137184,0.004452466907340554,0.9427653655292446,"good,medium,bad",7034,0.005117998294000569,1.6474450826644897,24930,0.5948255114320097,0.9408744484556759,3556,0.5452755905511811,0.875140607424072,0.6698861486031189,0.9553540113796395,0.956746590132328,0.3932409630686127,3210,0.9863592933183923,0.9704028951380455,0.9367225527312061,0.9393435842734682,0.9629629629629629,0.883495145631068,0.9662921348314607,0.037037037037037035,0.10517799352750809,0.033707865168539325,0.004189108318372232,0.9393435842734682,"good,medium,bad",728,0.006868131868131868,1.6425389051437378,1849,0.6479177934018389,0.9361817198485668,314,0.6751592356687898,0.8343949044585988,0.6946107784431138,0.9503480494095791,0.9244972431516181,0.6020922099132515,6,0.7888888888888889,0.9379596836736844
finetune,8,0.24417090398760943,0.15149170578672336,0.2866045144888071,0.06013362846122338,0.11891225880155197,1.0878026435008417,0.0,0.0,0.0,0.0,0.07669117983717184,0.06456206294779594,0.009064813982695341,0.30021140220073556,0.0947717579224935,0.012505882421436791,0.01329517503643405,0.01482877164582113,0.9378259125551545,0.937828279740649,0.9606498194945848,0.8748495788206979,0.9779783393501805,0.03935018050541516,0.12190132370637786,0.02190132370637786,0.001624548736462094,0.937828279740649,"good,medium,bad",7034,0.0017059994313335229,1.7185865640640259,24930,0.5953870838347373,0.9387083834737264,3556,0.6099550056242969,0.8835770528683915,0.7160603022868125,0.9475141951483009,0.9490289484043114,0.3898579083004981,3210,0.9775040472176315,0.9628731502636821,0.9313142239048134,0.9349884315557305,0.9582146248812915,0.8802588996763754,0.949438202247191,0.04178537511870845,0.11326860841423948,0.05056179775280899,0.0023937761819269898,0.9349884315557305,"good,medium,bad",728,0.004120879120879121,1.7131136655807495,1849,0.638182801514332,0.9329367225527312,314,0.7579617834394905,0.8535031847133758,0.7724550898203593,0.9571360577642462,0.9302163950405024,0.6078113618021358,6,0.7555555555555555,0.9583237087376856
finetune,9,0.23328795097768307,0.14231265134249743,0.2856403028735748,0.057509302004025535,0.11469284579730951,1.0582276713389618,0.0,0.0,0.0,0.0,0.07336477363625397,0.06192856292025401,0.008382675653466811,0.3029863524895448,0.09216298387887387,0.012083227146201981,0.011588475239057771,0.014357631867124628,0.9460088247091857,0.9459800810247372,0.9525872442839952,0.898676293622142,0.98676293622142,0.04741275571600481,0.09434416365824308,0.013116726835138388,0.0034897713598074608,0.9459800810247372,"good,medium,bad",7034,0.0034119988626670457,1.7741562128067017,24930,0.6008423586040914,0.9425992779783393,3556,0.5598987626546682,0.8734533183352081,0.6804940637397978,0.9605424080878697,0.9612782938045336,0.3953424150825348,3210,0.985918709275569,0.9730466493163878,0.9372633856138454,0.9400903671361475,0.9544159544159544,0.9029126213592233,0.9550561797752809,0.045584045584045586,0.0889967637540453,0.0449438202247191,0.002992220227408737,0.9400903671361475,"good,medium,bad",728,0.005494505494505495,1.788007140159607,1849,0.6587344510546241,0.9340183883180098,314,0.7133757961783439,0.8598726114649682,0.7305389221556886,0.9719037703016647,0.9464758300142176,0.6191325251709129,6,0.7666666666666666,0.9609601796832749
finetune,10,0.22859908669040754,0.13879939386477838,0.2849539150412266,0.055150872368652085,0.11259945138142659,1.0361011589948947,0.0,0.0,0.0,0.0,0.07040357485126991,0.05942635235305016,0.00786158606195106,0.30777483250086124,0.09076728058549074,0.011841942344863828,0.01176564213168715,0.013386431386830877,0.9407139991977537,0.9405302397136825,0.8938628158844766,0.9314079422382672,0.9968712394705175,0.10601684717208183,0.03766546329723225,0.0030084235860409147,0.01552346570397112,0.9405302397136825,"good,medium,bad",7034,0.02388399203866932,1.8486878871917725,24930,0.5984757320497393,0.9365824308062575,3556,0.6529808773903262,0.8967941507311586,0.7445386590753428,0.9779653876837633,0.9771834124227674,0.4025051397380086,3210,0.9967651357910086,0.9873465740881734,0.916170903190914,0.914777413130567,0.8964862298195632,0.9288025889967637,0.9887640449438202,0.10351377018043685,0.02912621359223301,0.011235955056179775,0.015559545182525433,0.914777413130567,"good,medium,bad",728,0.027472527472527472,1.8458240032196045,1849,0.6425094645754462,0.9134667387777177,314,0.7707006369426752,0.8757961783439491,0.784431137724551,0.9153579580130433,0.9042032387025333,0.5918707233023849,6,0.9055555555555556,0.8954789352088971
