model,test_auc,test_auc_ci_low_source_group_bootstrap,test_auc_ci_high_source_group_bootstrap,n_bootstrap,threshold_validation_selected,test_operating_point_1_minus_sp,test_operating_point_se,test_operating_point_sp,test_operating_point_acc,n_test_rows,n_test_source_groups,n_acceptable,n_original_unacceptable,n_synthetic_unacceptable
MLP,0.9552473763118441,0.9185011476710243,0.9843570137249115,5000,0.6295000000000001,0.09565217391304348,0.9310344827586207,0.9043478260869565,0.9177489177489178,231,149,116,33,82
SVM,0.961544227886057,0.9297517659918619,0.9857494752635234,5000,0.5215,0.08695652173913049,0.9655172413793104,0.9130434782608695,0.9393939393939394,231,149,116,33,82
