direction,location,query,n,mean_delta_h_int,sem_delta_h_int,flip_rate,mean_delta_bad_logit
nearest_good_to_rescued_medium_query,Q_e,QRS,123,0.5229908615593019,0.0262711464684533,0.04065040650406504,-0.010576011688728643
nearest_good_to_rescued_medium_query,Q_e,RR_TEMPLATE,123,0.5153147205104672,0.025743728024376734,0.04065040650406504,-0.017474306308157075
nearest_good_to_rescued_medium_query,Q_e,GM_BOUNDARY,123,0.5031097478013697,0.025697298194011214,0.04878048780487805,-0.054060901083597325
nearest_good_to_rescued_medium_query,Q_e,GLOBAL_MORPH,123,0.4904749189935079,0.023254705154549235,0.04065040650406504,-0.0514261276741338
nearest_good_to_rescued_medium_query,Q_e,BASELINE,123,0.48597552815103917,0.02369325390938739,0.04065040650406504,-0.026344512536273738
nearest_good_to_rescued_medium_query,Q_e,BAD_STRESS,123,0.4853541695974707,0.02448929527018153,0.04065040650406504,-0.06162976055610471
nearest_good_to_rescued_medium_query,Q_e,CONTACT_RESET,123,0.47897354955595683,0.02321581685295995,0.04065040650406504,-0.03932600486569288
nearest_good_to_rescued_medium_query,Q_e,DETAIL_NOISE,123,0.47467326730247433,0.022706230776927752,0.04065040650406504,-0.04474861641240314
nearest_good_to_rescued_medium_query,Z_Q,QRS,123,0.5209390874800643,0.027755423224827453,0.04878048780487805,-0.01291815439860026
nearest_good_to_rescued_medium_query,Z_Q,RR_TEMPLATE,123,0.5125475802072664,0.02697559898000146,0.04065040650406504,-0.021064110887729054
nearest_good_to_rescued_medium_query,Z_Q,GM_BOUNDARY,123,0.4960448625611096,0.027618942330441435,0.04878048780487805,-0.056875957706110265
nearest_good_to_rescued_medium_query,Z_Q,GLOBAL_MORPH,123,0.484274952392268,0.024843959945985664,0.04878048780487805,-0.05506016956112249
nearest_good_to_rescued_medium_query,Z_Q,BASELINE,123,0.4818687652184711,0.024615646190709013,0.04065040650406504,-0.03146275466050559
nearest_good_to_rescued_medium_query,Z_Q,BAD_STRESS,123,0.48064629721447705,0.026243449614742568,0.04878048780487805,-0.06450745342223625
nearest_good_to_rescued_medium_query,Z_Q,CONTACT_RESET,123,0.47504843056686524,0.024112525869328008,0.04065040650406504,-0.044563750910565136
nearest_good_to_rescued_medium_query,Z_Q,DETAIL_NOISE,123,0.4704330006266028,0.023913527376705924,0.04878048780487805,-0.04958379171728119
rescued_medium_to_nearest_good_query,Q_e,RR_TEMPLATE,123,0.49033295429818996,0.02739337861198946,0.024390243902439025,0.08599419322440295
rescued_medium_to_nearest_good_query,Q_e,BASELINE,123,0.4889347844007539,0.027751719396633165,0.016260162601626018,0.08057965301885837
rescued_medium_to_nearest_good_query,Q_e,GLOBAL_MORPH,123,0.48626770527382207,0.026894860074263595,0.016260162601626018,0.060665510534270994
rescued_medium_to_nearest_good_query,Q_e,CONTACT_RESET,123,0.4813441406420576,0.02727682018633617,0.016260162601626018,0.06873618878000151
rescued_medium_to_nearest_good_query,Q_e,DETAIL_NOISE,123,0.4813354383639204,0.026707981260737285,0.016260162601626018,0.068742732691571
rescued_medium_to_nearest_good_query,Q_e,QRS,123,0.47641980841877013,0.025836700413150008,0.024390243902439025,0.08860719882375825
rescued_medium_to_nearest_good_query,Q_e,GM_BOUNDARY,123,0.46549435747348195,0.025273391155277557,0.024390243902439025,0.05619221198849562
rescued_medium_to_nearest_good_query,Q_e,BAD_STRESS,123,0.4367086693523376,0.022996894352897115,0.032520325203252036,0.04326199709884519
rescued_medium_to_nearest_good_query,Z_Q,RR_TEMPLATE,123,0.43915758094167323,0.023202545250846765,0.008130081300813009,0.07964873507740051
rescued_medium_to_nearest_good_query,Z_Q,BASELINE,123,0.438165163606163,0.02370691517909634,0.008130081300813009,0.07196275199331888
rescued_medium_to_nearest_good_query,Z_Q,GLOBAL_MORPH,123,0.4359128911320756,0.02261643568118787,0.008130081300813009,0.05265480522217789
rescued_medium_to_nearest_good_query,Z_Q,DETAIL_NOISE,123,0.43244110665670255,0.022759773355484073,0.008130081300813009,0.059923443367810754
rescued_medium_to_nearest_good_query,Z_Q,CONTACT_RESET,123,0.4313792271342704,0.02321328253332662,0.008130081300813009,0.05922328747384917
rescued_medium_to_nearest_good_query,Z_Q,QRS,123,0.4259801221087696,0.021829000848777806,0.016260162601626018,0.08336335856740068
rescued_medium_to_nearest_good_query,Z_Q,GM_BOUNDARY,123,0.41330673733377843,0.021128152904209146,0.016260162601626018,0.04942347751400335
rescued_medium_to_nearest_good_query,Z_Q,BAD_STRESS,123,0.3858468096430709,0.019176941705618934,0.024390243902439025,0.03618372165090669
