epoch,train_loss,val_acc,val_macro_f1,val_auc,val_sensitivity,val_specificity,val_threshold,val_selected_acc,val_selected_macro_f1,val_selected_auc,val_selected_sensitivity,val_selected_specificity,val_selected_threshold
1,0.5511583465596904,0.8866666666666667,0.8250908841484327,0.8879310344827586,0.9568965517241379,0.6470588235294118,0.5,0.9066666666666666,0.864024864024864,0.8879310344827586,0.9482758620689655,0.7647058823529411,0.707
2,0.49448590045389923,0.9,0.8527004909983633,0.8496450304259634,0.9482758620689655,0.7352941176470589,0.5,0.9066666666666666,0.8668864097363083,0.8496450304259634,0.9396551724137931,0.7941176470588235,0.618
3,0.47353946903477545,0.9,0.8616151054800418,0.8732251521298174,0.9224137931034483,0.8235294117647058,0.5,0.9133333333333333,0.8750880789187112,0.8732251521298174,0.9482758620689655,0.7941176470588235,0.385
4,0.41803473784871725,0.8733333333333333,0.8311111111111111,0.8737322515212982,0.8879310344827587,0.8235294117647058,0.5,0.9066666666666666,0.8695652173913044,0.8737322515212982,0.9310344827586207,0.8235294117647058,0.324
5,0.4342237597574358,0.9066666666666666,0.864024864024864,0.861815415821501,0.9482758620689655,0.7647058823529411,0.5,0.9133333333333333,0.8776585733107473,0.861815415821501,0.9396551724137931,0.8235294117647058,0.541
6,0.4109948497751485,0.9,0.8588368153585545,0.877789046653144,0.9310344827586207,0.7941176470588235,0.5,0.92,0.8834498834498834,0.877789046653144,0.9568965517241379,0.7941176470588235,0.25
7,0.41353980613791425,0.8933333333333333,0.8509316770186335,0.8823529411764706,0.9224137931034483,0.7941176470588235,0.5,0.92,0.8834498834498834,0.8823529411764706,0.9568965517241379,0.7941176470588235,0.203
8,0.3944930210709572,0.9,0.8588368153585545,0.8968052738336714,0.9310344827586207,0.7941176470588235,0.5,0.92,0.8834498834498834,0.8968052738336714,0.9568965517241379,0.7941176470588235,0.337
9,0.40391940915066266,0.9,0.8588368153585545,0.8985801217038539,0.9310344827586207,0.7941176470588235,0.5,0.92,0.8834498834498834,0.8985801217038539,0.9568965517241379,0.7941176470588235,0.224
10,0.4191323243405508,0.9,0.8616151054800418,0.8980730223123732,0.9224137931034483,0.8235294117647058,0.5,0.9266666666666666,0.8919803600654665,0.8980730223123732,0.9655172413793104,0.7941176470588235,0.158
11,0.39186307399169257,0.9,0.8616151054800418,0.8851419878296146,0.9224137931034483,0.8235294117647058,0.5,0.92,0.8808262711864407,0.8851419878296146,0.9655172413793104,0.7647058823529411,0.168
12,0.3751459633121672,0.8933333333333333,0.8538011695906433,0.8808316430020284,0.9137931034482759,0.8235294117647058,0.5,0.92,0.8780157224179994,0.8808316430020284,0.9741379310344828,0.7352941176470589,0.095
13,0.38587182339118875,0.9133333333333333,0.8776585733107473,0.8932555780933062,0.9396551724137931,0.8235294117647058,0.5,0.92,0.8834498834498834,0.8932555780933062,0.9568965517241379,0.7941176470588235,0.357
14,0.37416958525452926,0.8933333333333333,0.8445998445998446,0.9236815415821501,0.9396551724137931,0.7352941176470589,0.5,0.92,0.875,0.9236815415821501,0.9827586206896551,0.7058823529411765,0.24
15,0.3699571747818719,0.9066666666666666,0.8609639830508475,0.8894523326572008,0.9568965517241379,0.7352941176470589,0.5,0.9266666666666666,0.8868235132725153,0.8894523326572008,0.9827586206896551,0.7352941176470589,0.306
16,0.38695052233727084,0.8933333333333333,0.8509316770186335,0.885395537525355,0.9224137931034483,0.7941176470588235,0.5,0.92,0.8808262711864407,0.885395537525355,0.9655172413793104,0.7647058823529411,0.17200000000000001
17,0.36639922403770947,0.8933333333333333,0.8478701825557808,0.9061866125760649,0.9310344827586207,0.7647058823529411,0.5,0.92,0.8717583357081791,0.9061866125760649,0.9913793103448276,0.6764705882352942,0.114
18,0.38155237650093826,0.9,0.8558708602908206,0.882606490872211,0.9396551724137931,0.7647058823529411,0.5,0.9133333333333333,0.8723404255319149,0.882606490872211,0.9568965517241379,0.7647058823529411,0.393
19,0.3682733009690824,0.9066666666666666,0.864024864024864,0.9338235294117647,0.9482758620689655,0.7647058823529411,0.5,0.9133333333333333,0.8750880789187112,0.9338235294117647,0.9482758620689655,0.7941176470588235,0.505
20,0.3565878152199414,0.8933333333333333,0.8509316770186335,0.922920892494929,0.9224137931034483,0.7941176470588235,0.5,0.9066666666666666,0.8609639830508475,0.922920892494929,0.9568965517241379,0.7352941176470589,0.121
21,0.35374369666628214,0.8733333333333333,0.8280127934343129,0.885395537525355,0.896551724137931,0.7941176470588235,0.5,0.9,0.8558708602908206,0.885395537525355,0.9396551724137931,0.7647058823529411,0.148
22,0.36090066672667215,0.8933333333333333,0.8478701825557808,0.8962981744421907,0.9310344827586207,0.7647058823529411,0.5,0.9133333333333333,0.8628595541177297,0.8962981744421907,0.9827586206896551,0.6764705882352942,0.11
23,0.35279653739670047,0.8333333333333334,0.7886013867749027,0.8815922920892495,0.8362068965517241,0.8235294117647058,0.5,0.9266666666666666,0.8839580842534638,0.8815922920892495,0.9913793103448276,0.7058823529411765,0.024
24,0.3498670998150888,0.8933333333333333,0.8478701825557808,0.8952839756592292,0.9310344827586207,0.7647058823529411,0.5,0.9133333333333333,0.8628595541177297,0.8952839756592292,0.9827586206896551,0.6764705882352942,0.077
25,0.36790340296600177,0.9,0.8558708602908206,0.8932555780933062,0.9396551724137931,0.7647058823529411,0.5,0.9266666666666666,0.8839580842534638,0.8932555780933062,0.9913793103448276,0.7058823529411765,0.079
26,0.3415904009471769,0.9,0.8527004909983633,0.9175963488843814,0.9482758620689655,0.7352941176470589,0.5,0.92,0.875,0.9175963488843814,0.9827586206896551,0.7058823529411765,0.128
27,0.35076386578705,0.8933333333333333,0.8509316770186335,0.9120182555780934,0.9224137931034483,0.7941176470588235,0.5,0.9066666666666666,0.8609639830508475,0.9120182555780934,0.9568965517241379,0.7352941176470589,0.267
28,0.33389462530612946,0.8933333333333333,0.8538011695906433,0.9145537525354969,0.9137931034482759,0.8235294117647058,0.5,0.9066666666666666,0.8668864097363083,0.9145537525354969,0.9396551724137931,0.7941176470588235,0.23
29,0.3386136092569517,0.9066666666666666,0.864024864024864,0.8866632860040569,0.9482758620689655,0.7647058823529411,0.5,0.9066666666666666,0.8668864097363083,0.8866632860040569,0.9396551724137931,0.7941176470588235,0.595
30,0.3398902986360633,0.8933333333333333,0.8478701825557808,0.9143002028397567,0.9310344827586207,0.7647058823529411,0.5,0.9,0.8558708602908206,0.9143002028397567,0.9396551724137931,0.7647058823529411,0.437
31,0.33157599717378616,0.8533333333333334,0.8061560150375939,0.8848884381338743,0.8706896551724138,0.7941176470588235,0.5,0.92,0.8717583357081791,0.8848884381338743,0.9913793103448276,0.6764705882352942,0.024
32,0.32554359831239865,0.8933333333333333,0.8509316770186335,0.9292596348884382,0.9224137931034483,0.7941176470588235,0.5,0.9266666666666666,0.8839580842534638,0.9292596348884382,0.9913793103448276,0.7058823529411765,0.01
33,0.32664687445630197,0.8933333333333333,0.8445998445998446,0.8879310344827586,0.9396551724137931,0.7352941176470589,0.5,0.9133333333333333,0.8628595541177297,0.8879310344827586,0.9827586206896551,0.6764705882352942,0.161
34,0.32451034726008127,0.8933333333333333,0.8445998445998446,0.9388945233265721,0.9396551724137931,0.7352941176470589,0.5,0.92,0.875,0.9388945233265721,0.9827586206896551,0.7058823529411765,0.039
35,0.32706596216429834,0.8666666666666667,0.8237781954887218,0.9338235294117647,0.8793103448275862,0.8235294117647058,0.5,0.9133333333333333,0.8628595541177297,0.9338235294117647,0.9827586206896551,0.6764705882352942,0.007
36,0.3255265095959539,0.8933333333333333,0.8564936618033963,0.9254563894523327,0.9051724137931034,0.8529411764705882,0.5,0.9133333333333333,0.869399236487844,0.9254563894523327,0.9655172413793104,0.7352941176470589,0.03
37,0.3119926896432172,0.88,0.8322981366459627,0.9224137931034483,0.9137931034482759,0.7647058823529411,0.5,0.9133333333333333,0.869399236487844,0.9224137931034483,0.9655172413793104,0.7352941176470589,0.052000000000000005
38,0.3156632461949535,0.9133333333333333,0.8750880789187112,0.9254563894523328,0.9482758620689655,0.7941176470588235,0.5,0.92,0.8859026369168357,0.9254563894523328,0.9482758620689655,0.8235294117647058,0.514
39,0.33003647641643236,0.8933333333333333,0.8445998445998446,0.888184584178499,0.9396551724137931,0.7352941176470589,0.5,0.9066666666666666,0.8609639830508475,0.888184584178499,0.9568965517241379,0.7352941176470589,0.123
40,0.32139509462791943,0.8666666666666667,0.817251461988304,0.9216531440162271,0.896551724137931,0.7647058823529411,0.5,0.9266666666666666,0.8868235132725153,0.9216531440162271,0.9827586206896551,0.7352941176470589,0.036000000000000004
41,0.3191886651127235,0.88,0.8385553695288208,0.926470588235294,0.896551724137931,0.8235294117647058,0.5,0.9133333333333333,0.869399236487844,0.926470588235294,0.9655172413793104,0.7352941176470589,0.034
42,0.32684485355149145,0.8866666666666667,0.8400150574063618,0.8630831643002028,0.9224137931034483,0.7647058823529411,0.5,0.9133333333333333,0.869399236487844,0.8630831643002028,0.9655172413793104,0.7352941176470589,0.063
