construction,n_original,n_generated,c2st_auc,rbf_mmd,swd,cdf_gap_mean,cdf_gap_max,pca_overlap,pc1_var,pc2_var
within_original_resample,158,383,0.707034735763625,0.0002747928538366,0.0329762777081708,0.0232845037766213,0.04732789106653,0.8172323759791122,0.5019687274700334,0.1722703802332352
fixed_synthetic,158,383,0.9695111874938028,0.5079629292729986,0.7186065834820383,0.5106079921808995,0.8420035033215454,0.8433420365535248,0.9092434013023568,0.0345452340792164
quota_draw,158,383,0.6445946392570314,0.0047493237970479,0.1263054179938501,0.2302883614190538,0.4594143503982549,0.9138381201044388,0.4661403644117075,0.2225090551696987
smc_gapfill,158,383,0.6172786462636745,0.0036275374986007,0.1099062770390039,0.2255617010394128,0.4556962025316455,0.908616187989556,0.5749470027819139,0.1175431199422423
