pair_id,trace,time_s,value
17,good,0.12,-0.132218486175851
17,good,0.128,-0.11645664733617293
17,good,0.136,-0.11078399136840018
17,good,0.144,-0.10213348648937129
17,good,0.152,-0.08343036053252628
17,good,0.16,-0.06331857834046914
17,good,0.168,-0.050144559102591184
17,good,0.176,-0.027829733785753263
17,good,0.184,0.0029307684502330377
17,good,0.192,0.0217630771916745
17,good,0.2,0.05022400819319644
17,good,0.208,0.08377013687820042
17,good,0.216,0.10850997649645161
17,good,0.224,0.12884296274357254
17,good,0.232,0.15076073763829148
17,good,0.24,0.16014103517039005
17,good,0.248,0.15691458686262424
17,good,0.256,0.1479405387104391
17,good,0.264,0.13842131416203793
17,good,0.272,0.12035718746988253
17,good,0.28,0.07139716808589064
17,good,0.288,0.03611713906048085
17,good,0.296,-0.0019875567258161235
17,good,0.304,-0.028718554640638317
17,good,0.312,-0.05716489164189248
17,good,0.32,-0.067882516105372
17,good,0.328,-0.08451699473565917
17,good,0.336,-0.08750601241687356
17,good,0.344,-0.09077129787931376
17,good,0.352,-0.09017250098564969
17,good,0.36,-0.08855288631903746
17,good,0.368,-0.08491894043355144
17,good,0.376,-0.07712095465652817
17,good,0.384,-0.07379158203794797
17,good,0.392,-0.06910767426093241
17,good,0.4,-0.06728748980924913
17,good,0.408,-0.062480972601842016
17,good,0.416,-0.05809685983450334
17,good,0.424,-0.04449405864588812
17,good,0.432,-0.04653200810763638
17,good,0.44,-0.05264241094685212
17,good,0.448,-0.047869413051380254
17,good,0.456,-0.04548127259350785
17,good,0.464,-0.04760720699857102
17,good,0.472,-0.05074012498422426
17,good,0.48,-0.057850431782094966
17,good,0.488,-0.054967933481419574
17,good,0.496,-0.07026990244373617
17,good,0.504,-0.06126325812591037
17,good,0.512,-0.06867111057699372
17,good,0.52,-0.07580388493538581
17,good,0.528,-0.06265209922094046
17,good,0.536,-0.028303151810142084
17,good,0.544,0.0448729191853859
17,good,0.552,0.03886388284761243
17,good,0.56,0.044996650043494436
17,good,0.568,0.10878605574780038
17,good,0.576,0.16007359348264447
17,good,0.584,0.17910580159041312
17,good,0.592,0.20004337064811478
17,good,0.6,0.10797012444400493
17,good,0.608,-0.025945644206776836
17,good,0.616,-0.07421287480184478
17,good,0.624,-0.10593185643177475
17,good,0.632,-0.11594277990160935
17,good,0.64,-0.11696000910586311
17,good,0.648,-0.11653954847383746
17,good,0.656,-0.10820478563167266
17,good,0.664,-0.1119095147344494
17,good,0.672,-0.1131130244592991
17,good,0.68,-0.11732856551242501
17,good,0.688,-0.18470093927356293
17,good,0.696,-0.07010030356674495
17,good,0.704,0.5379106627871361
17,good,0.712,1.3494902809540985
17,good,0.72,1.35
17,good,0.728,1.0976406813721353
17,good,0.736,0.07484903636683311
17,good,0.744,0.01222323381322742
17,good,0.752,-0.00044731963847647325
17,good,0.76,-0.059144214812905264
17,good,0.768,-0.08785442863174124
17,good,0.776,-0.10612284369826694
17,good,0.784,-0.10058659234706234
17,good,0.792,-0.11112515243351617
17,good,0.8,-0.10461291441392227
17,good,0.808,-0.09944066874810917
17,good,0.816,-0.0864964154221256
17,good,0.824,-0.08763807434523908
17,good,0.832,-0.07762013626377179
17,good,0.84,-0.06754444302962166
17,good,0.848,-0.06573827479914328
17,good,0.856,-0.05263161273561774
17,good,0.864,-0.03349145502065653
17,good,0.872,-0.025668102223623288
17,good,0.88,0.0
17,good,0.888,0.012123548640731854
17,good,0.896,0.038687937339846025
17,good,0.904,0.069761333348821
17,good,0.912,0.08642677638615773
17,good,0.92,0.11738585909196057
17,good,0.928,0.15248834741930797
17,good,0.936,0.1770702510088247
17,good,0.944,0.1820171709663997
17,good,0.952,0.199756155131959
17,good,0.96,0.2021079548307705
17,good,0.968,0.20014143218830704
17,good,0.976,0.19117934593176988
17,good,0.984,0.17530189277024225
17,good,0.992,0.14352942066346913
17,good,1.0,0.09651868969076527
17,good,1.008,0.04951817508708901
17,good,1.016,0.007934120600836337
17,good,1.024,-0.010684205917513052
17,good,1.032,-0.03635712215403162
17,good,1.04,-0.054412101896634486
17,good,1.048,-0.045284401894645325
17,good,1.056,-0.04868516882735913
17,good,1.064,-0.055905226017799826
17,good,1.072,-0.054764711276009195
17,good,1.08,-0.06973886578829962
17,good,1.088,-0.06197196793790053
17,good,1.096,-0.04232547098139765
17,good,1.104,-0.04032390128489176
17,good,1.112,-0.043479618383608795
17,good,1.12,-0.029226486634589637
17,good,1.128,-0.02798981515446808
17,good,1.136,-0.009518551691770988
17,good,1.144,-0.02833395369143557
17,good,1.152,-0.018759379371541613
17,good,1.16,-0.046153706656739533
17,good,1.168,-0.022477055276048197
17,good,1.176,-0.027165666548444906
17,good,1.184,-0.0496209986319346
17,good,1.192,-0.0770215018958638
17,good,1.2,-0.07127949943848412
17,good,1.208,-0.0226425357503802
17,good,1.216,-0.04880787577320433
17,good,1.224,-0.05662743196857539
17,good,1.232,-0.039799066612307456
17,good,1.24,-0.0479847218248084
17,good,1.248,-0.059572041112196744
17,good,1.256,-0.0526847911630092
17,good,1.264,0.008846133881114914
17,good,1.272,0.05232580102245054
17,good,1.28,0.062461550773989696
17,good,1.288,0.07793890127969909
17,good,1.296,0.1310235513098924
17,good,1.304,0.15978825026319876
17,good,1.312,0.1855855864670317
17,good,1.32,0.15144279972731373
17,good,1.328,0.011477622528317856
17,good,1.336,-0.08795444048100654
17,good,1.344,-0.11700871482444707
17,good,1.352,-0.1200262850304907
17,good,1.36,-0.13414524851734547
17,good,1.368,-0.12398227895217695
17,good,1.376,-0.1276429180678426
17,good,1.384,-0.13117790527096274
17,good,1.392,-0.11545512462098736
17,good,1.4,-0.09545640834692437
17,good,1.408,-0.16597126310920365
17,good,1.416,-0.1519836074312062
17,good,1.424,0.3358559904002409
17,good,1.432,1.2005844432689903
17,good,1.44,1.35
17,good,1.448,1.31673632230735
17,good,1.456,0.281979092319429
17,good,1.464,-0.03931321211706291
17,good,1.472,0.03231252010433447
17,good,1.48,-0.06350408523846611
17,good,1.488,-0.08588674880589448
17,good,1.496,-0.11004430414729996
17,good,1.504,-0.07258427571143611
17,good,1.512,-0.09646239076885696
17,good,1.52,-0.09697190251315743
17,good,1.528,-0.09620281763329633
17,good,1.536,-0.08831373942050176
17,good,1.544,-0.0751071955283158
17,good,1.552,-0.06602958596435246
17,good,1.56,-0.07254047176965571
17,good,1.568,-0.06343141022137454
