direction,control,recipient_class,n,accepted_n,accepted_rate,median_sqi_distance,mean_delta_conformer_medium_logit,mean_delta_conformer_bad_logit,mean_delta_mlp_gm_margin
good_into_good_same_class,same-class,good,60,30,0.5,0.3446141521793792,0.242329873641332,0.02221814791361491,-0.1008634834629737
good_into_medium_random,random,medium,60,35,0.5833333333333334,0.17066752619002284,-0.009545063945863928,-0.06728387560163225,-0.02721956836674705
good_into_medium_top,top-local,medium,60,27,0.45,0.31640621649439327,0.0384584746013085,-0.057584285736083984,-0.09296153409279703
medium_into_good_random,random,good,60,36,0.6,0.21683322745028497,0.5228190612461832,0.10920417308807373,-0.019719291899646746
medium_into_good_top,top-local,good,60,27,0.45,0.27208949823827044,0.5651868405165495,0.09411961944014938,0.010452552925153359
medium_into_medium_same_class,same-class,medium,60,31,0.5166666666666667,0.3801717731866259,0.029834652650019815,-0.0425967401073825,-0.13786593973301592
