condition,n_pairs,boundary_error_rate,medium_recall,good_recall,mean_delta_bad_logit
full,123,0.0975609756097561,1.0,0.8048780487804879,0.0
no hi-res cross attention,123,0.1951219512195122,0.991869918699187,0.6178861788617886,1.5892811277048375
shuffled H,123,0.0975609756097561,1.0,0.8048780487804879,-1.0273320888116108e-07
mean H,123,0.18699186991869918,0.991869918699187,0.6341463414634146,1.1637089969666023
