record_id,perturbation,severity,window_start_s,window_stop_s,accepted,sqi_distance,delta_iSQI,delta_bSQI,delta_pSQI,delta_basSQI,qrs_same,delta_conformer_medium_logit,delta_conformer_bad_logit,delta_mlp_gm_margin,clean_conformer_pred,cand_conformer_pred
butv116_00007,hf_burst,0.2,1.2,1.696,1,0.0057264977794311,0.0,0.0,0.0001644617237153,1.5885115185465537e-06,1,0.0002353191375732,0.0008621215820312,0.1185245971434385,good,good
butv116_00007,hf_burst,0.4,1.2,1.696,1,0.0063566435570118,0.0,0.0,0.000322530974778,3.0950959979403336e-06,1,0.0109145641326904,0.0090112686157226,0.1173383498935276,good,good
butv116_00007,hf_burst,0.6,1.2,1.696,1,0.0075037886633426,0.0,0.0,0.0004741797316836,4.520870546587119e-06,1,0.03566575050354,0.0278234481811523,0.1164946340329573,good,good
butv116_00007,hf_burst,0.8,1.2,1.696,1,0.0077856927674144,0.0,0.0,0.0006194183940753,5.864063986615875e-06,1,0.0831570625305175,0.0637321472167968,0.0558651576823756,good,good
butv116_00007,hf_burst,1.0,1.2,1.696,1,0.0112370876809937,0.0,0.0,0.0007582206549191,7.126511012867098e-06,1,0.1781373023986816,0.123417854309082,0.1158347724084318,good,good
butv116_00007,hf_burst,1.2,1.2,1.696,1,0.0137203704506917,0.0,0.0,0.0008905993431248,8.307375241933812e-06,1,0.3126099109649658,0.1959342956542968,0.1160189395352948,good,good
butv116_00007,hf_burst,1.4,1.2,1.696,1,0.0165627543645335,0.0,0.0,0.0010165367291962,9.406355362950867e-06,1,0.4545533657073974,0.2630033493041992,0.1165461821376652,good,good
butv116_00007,hf_burst,1.6,1.2,1.696,1,0.0197406913896694,0.0,0.0,0.0011360203908916,1.042329621558924e-05,1,0.5571701526641846,0.3073921203613281,0.1174168686112999,good,good
butv116_00007,hf_burst,1.8,1.2,1.696,1,0.0232387492525037,0.0,0.0,0.0012490395903237,1.1358601748390209e-05,1,0.6336297988891602,0.3317461013793945,0.1186313507838396,good,good
butv116_00007,hf_burst,2.0,1.2,1.696,1,0.0270465929087842,0.0,0.0,0.0013555942065436,1.2212294015157e-05,1,0.6923809051513672,0.3417978286743164,0.1201898680722499,good,good
butv116_00007,emg_noise_floor,0.2,6.872,7.816,1,0.0028938638951781,0.0,0.0,0.0001469543961207,4.675050554681093e-06,1,-0.0173795223236084,0.0011215209960937,-0.0578365634150481,good,good
butv116_00007,emg_noise_floor,0.4,6.872,7.816,1,0.0014892977121249,0.0,0.0,0.0002983670048258,9.473476715760045e-06,1,-0.0192127227783203,0.004068374633789,0.0038925094629236,good,good
butv116_00007,emg_noise_floor,0.6,6.872,7.816,1,0.0020199620461249,0.0,0.0,0.0004542130279053,1.4393601478035478e-05,1,-0.0056240558624267,0.0087490081787109,0.0062330425212115,good,good
butv116_00007,emg_noise_floor,0.8,6.872,7.816,1,0.0024615709475098,0.0,0.0,0.0006144885534138,1.943464693554553e-05,1,0.0126395225524902,0.0136737823486328,0.0088364709732113,good,good
butv116_00007,emg_noise_floor,1.0,6.872,7.816,1,0.0028746167396494,0.0,0.0,0.0007791748743073,2.4599012518611296e-05,1,0.040027379989624,0.0200834274291992,0.0117026695291733,good,good
butv116_00007,emg_noise_floor,1.2,6.872,7.816,1,0.0033341856354325,0.0,0.0,0.0009482478505592,2.9884528038648384e-05,1,0.0795204639434814,0.028167724609375,0.0148314683195107,good,good
butv116_00007,emg_noise_floor,1.4,6.872,7.816,1,0.0039191655578032,0.0,0.0,0.0011216950691369,3.5291213659971454e-05,1,0.1184008121490478,0.0362100601196289,0.0182228986669343,good,good
butv116_00007,emg_noise_floor,1.6,6.872,7.816,1,0.0046954643845031,0.0,0.0,0.0012995047226324,4.081776777509205e-05,1,0.1603977680206298,0.0451869964599609,0.0218769422594102,good,good
butv116_00007,emg_noise_floor,1.8,6.872,7.816,1,0.0057049944729511,0.0,0.0,0.0014816594931359,4.646407618846826e-05,1,0.2038521766662597,0.0532770156860351,0.0257935917337559,good,good
butv116_00007,emg_noise_floor,2.0,6.872,7.816,1,0.0069668200597298,0.0,0.0,0.0016681381835248,5.223028433809507e-05,1,0.240257978439331,0.0594282150268554,0.0299727277492376,good,good
butv116_00007,reset_spike,0.2,7.56,8.36,1,0.0077460063267363,0.0,0.0,0.0004317030123792,0.0001017980991443,1,0.0204930305480957,0.0042028427124023,0.0024194917827113,good,good
butv116_00007,reset_spike,0.4,7.56,8.36,1,0.0140396619854485,0.0,0.0,0.0008511372289992,0.0002080221315642,1,0.0478801727294921,0.0101652145385742,0.0055593144545358,good,good
butv116_00007,reset_spike,0.6,7.56,8.36,1,0.018882222586255,0.0,0.0,0.0012581761556194,0.0003186352892134,1,0.071918249130249,0.0161590576171875,0.0094099326356686,good,good
butv116_00007,reset_spike,0.8,7.56,8.36,1,0.0222825693084171,0.0,0.0,0.0016526910883986,0.000433602191439,1,0.0986034870147705,0.0228252410888671,0.0139623559546726,good,good
butv116_00007,reset_spike,1.0,7.56,8.36,1,0.0242610348973954,0.0,0.0,0.0020345802513043,0.000552882532266,1,0.1210534572601318,0.029214859008789,0.0192086516474256,good,good
butv116_00007,reset_spike,1.2,7.56,8.36,1,0.0248570088094559,0.0,0.0,0.0024037304637721,0.0006764332500492,1,0.1509225368499755,0.0366401672363281,0.0251413532821669,good,good
butv116_00007,reset_spike,1.4,7.56,8.36,1,0.0241453827424384,0.0,0.0,0.0027600331428577,0.0008042055147733,1,0.17911958694458,0.0428438186645507,0.0317537456193406,good,good
