pair_id,direction,control,recipient_class,window_start_s,window_stop_s,accepted,sqi_distance,delta_iSQI,delta_bSQI,delta_pSQI,delta_basSQI,qrs_same,delta_conformer_medium_logit,delta_conformer_bad_logit,delta_mlp_gm_margin,clean_mlp_gm_margin,cand_mlp_gm_margin,cand_conformer_pred
0,medium_into_good_top,top-local,good,7.864,8.864,0,0.4335595754722869,7.549516567451064e-15,0.08333333333332638,0.0013011895608259216,0.0003095169103383144,0,0.222387433052063,-0.1527552604675293,-0.280930413996606,-1.5024841168284493,-1.7834145308250553,good
0,medium_into_good_random,random,good,0.504,1.504,1,0.24157326664146758,0.0,0.0,0.0022898727755459314,0.0020019527512035173,1,0.5256420969963074,0.3198089599609375,0.04186513183690743,-1.5024841168284493,-1.4606189849915419,medium
0,good_into_good_same_class,same-class,good,7.864,8.864,0,0.998425098924698,7.549516567451064e-15,0.08333333333332638,0.0006511176782441064,0.0066052435273527,0,-0.11727893352508545,-0.2159285545349121,-0.5766682558261114,-1.5024841168284493,-2.0791523726545607,good
0,good_into_medium_top,top-local,medium,7.864,8.864,1,0.3673981047229118,0.0,0.0,0.00013366574694650968,0.00034163389396579813,1,0.00028188712894916534,0.1686239242553711,0.2139076140933478,-1.6140902289580858,-1.400182614864738,medium
0,good_into_medium_random,random,medium,0.504,1.504,1,0.3395885702258657,0.0,0.0,0.00207549601440693,0.0018177740505407325,1,-0.007206819951534271,-0.5930352210998535,-0.009191374934725882,-1.6140902289580858,-1.6232816038928117,medium
0,medium_into_medium_same_class,same-class,medium,7.864,8.864,0,0.4514710833929186,5.551115123125783e-15,0.07142857142856629,0.00044246163673733463,0.0052019420577379405,0,-0.002629633992910385,-0.1004190444946289,-0.31464058804181194,-1.6140902289580858,-1.9287308169998978,medium
1,medium_into_good_top,top-local,good,0.496,1.496,1,0.17984372835526694,0.0,0.0,0.003587652709952427,0.039941182868167835,1,-0.4133768081665039,4.0531158447265625e-05,-0.07582108672941351,-0.4114699900783985,-0.48729107680781203,good
1,medium_into_good_random,random,good,8.248,9.248,1,0.1847030547921552,0.0,0.0,0.0017461443962242251,0.021304023672262362,1,0.09963196516036987,0.08613300323486328,0.08735878416497578,-0.4114699900783985,-0.32411120591342274,medium
1,good_into_good_same_class,same-class,good,0.496,1.496,0,1.654034263444053,0.0,0.0,0.0004913516333310275,0.3700810334507173,1,0.3770940601825714,0.010172843933105469,-0.7197547253633709,-0.4114699900783985,-1.1312247154417694,medium
1,good_into_medium_top,top-local,medium,0.496,1.496,1,0.10377931337453074,0.0,0.0,0.0001616926866335744,0.006691579041420259,1,-0.013189077377319336,0.08429098129272461,0.015441183564446348,-0.2894948360635441,-0.27405365249909774,medium
1,good_into_medium_random,random,medium,8.248,9.248,1,0.08656200602863094,0.0,0.0,0.0010225264915388887,0.008404593759110068,1,0.009964942932128906,0.03356456756591797,0.011593900346070884,-0.2894948360635441,-0.2779009357174732,medium
1,medium_into_medium_same_class,same-class,medium,0.496,1.496,0,1.391233594240595,0.0,0.0,0.001202962163629806,0.3942790184080809,1,-0.08793890476226807,-0.31079864501953125,0.23711669616390652,-0.2894948360635441,-0.05237813989963758,good
2,medium_into_good_top,top-local,good,5.896,6.896,1,0.6725598696699602,0.0,0.0,0.003410024028590697,0.027447001899205903,1,0.18081247806549072,-0.3134803771972656,-0.2993465545793357,-0.2931803347886691,-0.5925268893680048,medium
2,medium_into_good_random,random,good,7.088,8.088,1,0.44990435298686143,0.0,0.0,0.02796088484635728,0.05913521889902984,1,-0.16257423162460327,-0.23913860321044922,-0.07704564175469625,-0.2931803347886691,-0.37022597654336536,good
2,good_into_good_same_class,same-class,good,5.896,6.896,1,0.7969998667748154,0.0,0.0,0.0051460358921086025,0.053579575596536144,1,-0.14347398281097412,-0.3903665542602539,-0.44855702377468354,-0.2931803347886691,-0.7417373585633527,good
2,good_into_medium_top,top-local,medium,5.896,6.896,0,0.8174992122047726,0.0,0.0,0.0006137888698720673,0.19771528202949884,1,0.07695871591567993,0.1843562126159668,0.2802389367937585,-0.2930100526936337,-0.01277111589987523,medium
2,good_into_medium_random,random,medium,7.088,8.088,0,0.846661450944395,0.0,0.0,0.006144027143631159,0.1543630509511884,1,0.4317079037427902,-0.06862115859985352,0.17757203276670835,-0.2930100526936337,-0.11543801992692537,medium
2,medium_into_medium_same_class,same-class,medium,5.896,6.896,0,0.2440419669899161,6.439293542825908e-15,0.06410256410255377,0.0029562157364856345,0.0246419272522298,0,0.1585502028465271,-0.3295254707336426,0.21766022712767724,-0.2930100526936337,-0.07534982556595649,medium
