model,class,recall
SVM,unacceptable,0.6060606060606061
SVM,acceptable,0.956896551724138
MLP,unacceptable,0.6060606060606061
MLP,acceptable,0.9827586206896552
Conformer,unacceptable,0.8181818181818182
Conformer,acceptable,0.9482758620689656
