perturbation,severity,n,accepted_n,accepted_rate,median_sqi_distance,mean_delta_conformer_medium_logit,mean_delta_conformer_bad_logit,mean_delta_mlp_gm_margin
emg_noise_floor,0.2,40,40,1.0,0.0027786952792358,0.0030125081539154,0.0010717272758483,-0.001176262773333
emg_noise_floor,0.4,40,40,1.0,0.0027096427681557,0.0199982106685638,0.0042318940162658,0.0061051456405343
emg_noise_floor,0.6,40,40,1.0,0.0032266605335446,0.0536256551742553,0.0108812451362609,3.816779183354324e-05
emg_noise_floor,0.8,40,40,1.0,0.0037452717974049,0.1036200016736984,0.0200182676315307,0.0145340736393119
emg_noise_floor,1.0,40,40,1.0,0.0047892596759729,0.1731396347284317,0.0343188524246215,0.0076915605944108
emg_noise_floor,1.2,40,40,1.0,0.0063338759023857,0.2593515455722809,0.0531010270118713,0.0151196989881164
emg_noise_floor,1.4,40,40,1.0,0.0072161595499188,0.3590748965740203,0.0778477430343627,0.0097164261078308
emg_noise_floor,1.6,40,40,1.0,0.0082952414249961,0.4642294734716415,0.1059425354003906,0.0145842869113248
emg_noise_floor,1.8,40,40,1.0,0.0104765380201316,0.5692708730697632,0.1348737001419067,0.0231137800854221
emg_noise_floor,2.0,40,40,1.0,0.0127121985969581,0.670404714345932,0.1634974956512451,0.0315632231055057
hf_burst,0.2,40,40,1.0,0.0014567053974099,0.0059572577476501,0.0013131618499755,0.0091935467598934
hf_burst,0.4,40,40,1.0,0.0018953602512444,0.0308717310428619,0.0054344296455383,0.011095019924215
hf_burst,0.6,40,40,1.0,0.0033105557224207,0.080592530965805,0.0152111530303955,0.0116491776864434
hf_burst,0.8,40,40,1.0,0.0042187495123746,0.1635451704263687,0.0354918360710144,0.0175145331228687
hf_burst,1.0,40,40,1.0,0.0060868901710265,0.2626776397228241,0.0601554870605468,0.0197542020290658
hf_burst,1.2,40,40,1.0,0.0082256865214427,0.3611238479614257,0.0845699429512023,0.0151944464138955
hf_burst,1.4,40,40,1.0,0.0111470242699419,0.4554182797670364,0.1096634030342102,0.0147949861541774
hf_burst,1.6,40,40,1.0,0.0141418078436971,0.540360352396965,0.1330545544624328,0.0233089255590427
hf_burst,1.8,40,40,1.0,0.0176315772548826,0.6147604823112488,0.1538875818252563,0.03603348392568
hf_burst,2.0,40,40,1.0,0.0215063282944803,0.677925568819046,0.1708295822143554,0.0395546797177245
reset_spike,0.2,40,40,1.0,0.0039351326963529,0.0021350502967834,0.0013821721076965,-0.0073080508098828
reset_spike,0.4,40,40,1.0,0.0081665550258158,0.0110861122608184,0.0039852857589721,-0.0047385934322131
reset_spike,0.6,40,40,1.0,0.0132539872907502,0.0268487572669982,0.007421875,-0.0056527577233937
reset_spike,0.8,40,40,1.0,0.0198762194147114,0.0550796627998352,0.0145287990570068,-0.0010504781432772
reset_spike,1.0,40,40,1.0,0.0258428521601666,0.0907999366521835,0.0233353734016418,0.003017595342301
reset_spike,1.2,40,40,1.0,0.0316136466576003,0.1341131120920181,0.0338332653045654,0.0052050675542797
reset_spike,1.4,40,40,1.0,0.0412267990591613,0.1862179458141327,0.0466937899589538,0.0115393585282629
reset_spike,1.6,40,37,0.925,0.0574209522097685,0.2095372580193184,0.0471131994917586,0.013552448390862
reset_spike,1.8,40,36,0.9,0.0706586604184164,0.2713159720102946,0.0638463762071397,0.0228916486420364
reset_spike,2.0,40,36,0.9,0.0792121090697029,0.334317750400967,0.0847572882970174,0.0301393175663089
